function, min, max, mean, median, stddev
jde_F1_bent_cigar_10d,100.0,100.00000000000001,100.0,100.0,3.6692269098233666e-15
soma_F1_bent_cigar_10d,81411668.72630887,6482423825.334526,1646008304.7107909,1069304630.974083,1363523411.8449557
jde_F1_bent_cigar_20d,100.0,100.00000000000001,100.0,100.0,6.355287432313019e-15
soma_F1_bent_cigar_20d,1719080980.6657813,12272571791.368809,6124535161.321189,5505079520.307133,2883830493.8610854
jde_F2_schwefel_10d,1178.409354084788,1595.1961940784495,1406.8961460032724,1401.8390208003404,113.63171905286411
soma_F2_schwefel_10d,1466.1613800406635,2364.093107095654,1917.0406888937853,1930.9452604398125,238.620779187724
jde_F2_schwefel_20d,1184.1877045854708,1596.380080551704,1337.7303514762307,1325.7128592413942,104.67727081537035
soma_F2_schwefel_20d,2636.9765689850547,3980.275983039958,3269.73936409243,3279.6154557254686,368.14362489790216
jde_F3_lunacek_bi_rastrigin_10d,714.0553317286848,725.3550243078231,720.6620198633062,721.191832036063,2.6970292924932378
soma_F3_lunacek_bi_rastrigin_10d,726.259944847131,826.8974182827692,753.8788152860797,748.2357655188173,22.035875355349745
jde_F3_lunacek_bi_rastrigin_20d,723.858347082484,730.4476859023417,726.8354603562,727.0072316047138,1.8091021717171034
soma_F3_lunacek_bi_rastrigin_20d,787.3448395377429,932.2765973875726,857.0051572389945,851.8010890529944,34.44363585228329
jde_F4_rosenbrock_griewangk_10d,1900.5276025047028,1901.9539629104224,1901.40575807425,1901.4051251187498,0.2908278211073707
soma_F4_rosenbrock_griewangk_10d,1902.1105524510442,38703.551663276,5607.143730914652,2619.0898087957034,7357.180181192983
jde_F4_rosenbrock_griewangk_20d,1901.3102018904522,1902.739842951624,1902.0744734556504,1902.1504665242192,0.31174293683448084
soma_F4_rosenbrock_griewangk_20d,2063.709069092963,130873.0285235893,16680.542357083337,7347.3250719131875,23543.11271040896
jde_F5_hybrid_one_10d,1700.2081431041436,1830.8143917409225,1717.130663956799,1711.9110264959927,25.003109771122517
soma_F5_hybrid_one_10d,10313.008247274885,1207395.1035176076,360880.41875246057,268764.1943099544,354163.7437340435
jde_F5_hybrid_one_20d,1744.4461796356002,14877.028246872165,3146.6307110569446,2278.822199165412,2594.601466146022
soma_F5_hybrid_one_20d,81991.77765997892,7385521.902883213,2254996.9384687026,1904835.4818353767,1777174.4049727276
jde_F6_hybrid_two_10d,1600.1061520685314,1601.8533542012292,1600.5465239429554,1600.4932365534185,0.3679153967576422
soma_F6_hybrid_two_10d,1602.5535786598687,1973.6918185287714,1793.8387714290911,1797.757204499813,100.04863405486559
jde_F6_hybrid_two_20d,1600.6397460653175,1601.7260950451337,1601.1720021356969,1601.0847248855262,0.3016975437202816
soma_F6_hybrid_two_20d,1792.8571326249971,2756.7374692926596,2215.38949777707,2225.249063408997,243.2325585801659
jde_F7_hybrid_three_10d,2100.008958819359,2116.7609224554826,2100.8374327159395,2100.282640455591,2.9665952022687576
soma_F7_hybrid_three_10d,2878.640015092449,3011772.986708331,269665.82954946335,25359.747919526366,695557.8414570375
jde_F7_hybrid_three_20d,2102.026325047897,2429.5323412622347,2197.2612747367116,2162.1803664967138,87.7677761615076
soma_F7_hybrid_three_20d,72752.76442903545,3126728.500373433,775163.1224797355,479726.67389135633,812375.3020718079
jde_F8_composition_one_10d,2300.0,2300.59298202999,2300.131006710877,2300.0000000000005,0.1905412957077173
soma_F8_composition_one_10d,2256.71640775693,2494.38576364897,2355.769860957771,2352.459941201725,47.41154744315553
jde_F8_composition_one_20d,2300.0000000000005,2300.0000000000005,2300.0000000000005,2300.0000000000005,0.0
soma_F8_composition_one_20d,2452.808268518211,6112.047009155292,3589.893268165099,3088.647862600146,1121.9872929339472
jde_F9_composition_two_10d,2500.0,2740.3336341031472,2718.150363204711,2734.838182624993,58.44766607074823
soma_F9_composition_two_10d,2559.6635750761898,2846.863153502112,2757.4890387049,2779.6831697461166,72.78641042368886
jde_F9_composition_two_20d,2807.3154717953116,2834.91155620123,2818.557435729014,2818.238627452687,7.524875697642332
soma_F9_composition_two_20d,2906.776684076086,3110.5049400806593,2993.0857926419867,2994.251025086679,46.16445917650049
jde_F10_composition_three_10d,2897.7428694699875,2945.8689045317806,2914.7726603308647,2898.111866179427,21.966940132338827
soma_F10_composition_three_10d,2910.3053511999246,3059.976308628393,2973.4535942152193,2961.797051793128,31.78048602921422
jde_F10_composition_three_20d,2912.4118697188806,2959.461869588907,2915.191665683869,2913.679251171736,8.224217261944975
soma_F10_composition_three_20d,3086.8308665302884,4180.361601070999,3356.7599232964712,3277.911533638594,236.8090125436754
